id,preferred_name,alternative_names,category,description
http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab,manage musical,manage|manage musical staff|musical|musical staff|musical staff manage,management,
http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2,supervise,supervise correctional|supervise correctional procedures|correctional|correctional procedures|correctional procedures oversee,management,
http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828,apply anti-oppressive,apply|apply anti-oppressive practices|anti-oppressive|anti-oppressive practices|anti-oppressive practices apply,general,
http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35,control,control compliance|control compliance of|compliance|compliance of|compliance of railway,general,
http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,identify,identify available|identify available services|available|available services|available services establish,general,
http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,perform toxicological,perform|perform toxicological studies|toxicological|toxicological studies|toxicological studies apply,general,
http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316,ensure,ensure coquille|ensure coquille uniformity|coquille|coquille uniformity|coquille uniformity ensure,general,
http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,Haskell Haskell|Haskell Haskell techniques|Haskell techniques|Haskell techniques The|techniques,general,
http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,show,show initiative|show initiative take|initiative|initiative take|initiative take the,general,
http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,train,train staff|train staff to|staff|staff to|staff to reduce,general,"Ensure that staff understands methods of and tools for food recycling, e. g. , separating waste."
http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,apply diplomatic,apply|apply diplomatic principles|diplomatic|diplomatic principles|diplomatic principles utilise,general,
http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831,lead,lead police|lead police investigations|police|police investigations|police investigations supervise,management,
http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990,handle,handle fish|handle fish harvesting|fish|fish harvesting|fish harvesting waste,general,
http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,develop energy,develop|develop energy saving|energy|energy saving|energy saving concepts,design,
http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3,perform street,perform|perform street interventions|street|street interventions|street interventions in,general,
http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330,work,work with|work with soloists|with|with soloists|with soloists collaborate,general,
http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355,sport,sport and|sport and exercise|and|and exercise|and exercise medicine,general,
http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,conduct research,conduct|conduct research on|research|research on|research on flora,analysis,
http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,install,install heat|install heat pump|heat|heat pump|heat pump installation,general,"Create the necessary openings and install the indoors and outdoors parts of the heat pump.  Connect electricity and any ducts, and configure the heat pump."
http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,design biomass,design|design biomass installations|biomass|biomass installations|biomass installations design,design,"Determine construction boundaries such as needed space and weight.  Calculate indicators such as capacity, flow, and temperatures.  Make detailed descriptions and drawings of the design."
http://data.europa.eu/esco/skill/00831ebb-bac3-4bd1-8dae-2bca67be958d,handle,handle equipment|handle equipment while|equipment|equipment while|equipment while suspended,technical,"Take on a secure and stable position before starting the operation.  After finishing, store the equipment safely, usually by attaching it to a belt buckle."
